id;data;cliente;valor_compra;valor_pago;saldo_devedor;recebimento;pagamento;banco
1;2024-01-03;when suspiciously;9202.62;419.88;23036.87;27051.26;DINHEIRO;CAIXA_ANGOLA
2;2024-01-02;gastropod cruel front;25125.56;18856.67;5023.52;29085.5;DINHEIRO;CAIXA_ANGOLA
3;2024-01-03;svelte texture hippodrome;13427.61;14047.95;12185.3;32375.44;DINHEIRO;NUBANK
4;2024-01-02;shadowy longingly;10390.27;21491.63;14040.99;24372.04;DINHEIRO;NUBANK
5;2024-01-02;pro tremendously;28280.34;24658.49;9989.97;5592.89;TRANSFERENCIA;CAIXA_ANGOLA
6;2024-01-02;intestine ew now;13667.1;517.7;3110.25;23989.62;TRANSFERENCIA;SOL
7;2024-01-03;mmm bleakly behind;10346.53;5378.25;5343.18;11346.09;TRANSFERENCIA;CAIXA_ANGOLA
8;2024-01-03;gentle zowie accidentally;11200.73;578.39;32215.71;7781.07;DINHEIRO;SOL
9;2024-01-02;belch yowza;6485.82;2333.4;15474.93;9265.38;DINHEIRO;SOL
10;2024-01-02;austere;10508.35;4860.86;12260.86;11576.45;TRANSFERENCIA;NUBANK
